featurecla,nameascii,sov0name,adm0name,latitude,longitude,pop_max,pop_min
Populated place,Tibati,Cameroon,Cameroon,6.46698122042,12.6333267809,35589,8603
Populated place,Kontcha,Cameroon,Cameroon,7.96701885877,12.2332995185,8018,3674
Populated place,Guider,Cameroon,Cameroon,9.93038738905,13.9400170478,84647,81991
Populated place,Mbe,Cameroon,Cameroon,7.85043682752,13.6000377997,3950,3950
Admin-1 capital,Lucapa,Angola,Angola,-8.4196036592,20.7400154202,31041,20115
Populated place,Capenda-Camulemba,Angola,Angola,-9.41959430048,18.4300272203,80000,79685
Admin-1 capital,Saurimo,Angola,Angola,-9.65957965204,20.3900109443,41316,40498
Populated place,Muconda,Angola,Angola,-10.5996256319,21.3199800198,2324,2324
Populated place,Cacolo,Angola,Angola,-10.1496272595,19.2600023994,984,984
Admin-1 capital,Caxito,Angola,Angola,-8.57954221714,13.6599824612,28224,3107
Populated place,Camabatela,Angola,Angola,-8.18959185907,15.3700072822,12837,12625
Admin-1 capital,Ndalatando,Angola,Angola,-9.29954994826,14.9099836819,8144,8144
Populated place,Quibala,Angola,Angola,-10.7295918591,14.9799535712,8915,1582
Populated place,Calulo,Angola,Angola,-9.99961057652,14.9000101305,795,795
Populated place,Waku Kungo,Angola,Angola,-11.3595275687,15.1199967027,12069,10970
Populated place,Songo,Angola,Angola,-7.34959145216,14.849987344,10579,10579
Admin-1 capital,Mbanza-Congo,Angola,Angola,-6.26960569369,14.2399987372,60182,24220
Populated place,Nzeto,Angola,Angola,-7.22959877638,12.8600312893,21059,18352
Populated place,Soyo,Angola,Angola,-6.12961423861,12.3699836819,67491,63167
Admin-1 capital,Cabinda,Angola,Angola,-5.55962319044,12.1899946682,91791,66020
Populated place,Calucinga,Angola,Angola,-11.3195816866,16.1999824612,531,531
Populated place,Camacupa,Angola,Angola,-12.0195906384,17.4699824612,19828,19150
Populated place,Cubal,Angola,Angola,-13.039580059,14.2399987372,4837,4837
Populated place,Mavinga,Angola,Angola,-15.7895414034,20.3600386136,30000,30000
Populated place,Cuito Caunavale,Angola,Angola,-15.1596056937,19.1699820543,149,149
Populated place,Luiana,Angola,Angola,-17.3695483207,22.9999808336,150,150
Admin-1 capital,Ondjiva,Angola,Angola,-17.0696183077,15.730036986,10169,7327
Populated place,Chitado,Angola,Angola,-17.3196288871,13.9200182685,500,437
Populated place,Chibemba,Angola,Angola,-15.7495955212,14.0800085029,1502,1502
Populated place,Chibia,Angola,Angola,-15.1896297009,13.6900064684,1411,1411
Populated place,Quipungo,Angola,Angola,-14.8295483207,14.5500056546,186,186
Populated place,Luau,Angola,Angola,-10.7095414033,22.2300019925,18465,1463
Populated place,Cangamba,Angola,Angola,-13.6995914522,19.8600174547,1307,1307
Populated place,Lumbala Nguimbo,Angola,Angola,-14.0996187146,21.440024372,25,25
Populated place,Cazombo,Angola,Angola,-11.8895727347,22.9000386136,298,298
Populated place,Timimoun,Algeria,Algeria,29.2365216258,0.26999873719,49237,3899
Admin-1 capital,Sidi bel Abbes,Algeria,Algeria,35.1903442576,-0.63997155903,208604,191769
Admin-1 capital,Tlimcen,Algeria,Algeria,34.8904142446,-1.32000756978,229777,132341
Populated place,Beni Ounif,Algeria,Algeria,32.0492698354,-1.2513812677,5628,5628
Populated place,Abadla,Algeria,Algeria,31.0170847768,-2.73330631653,14364,14364
Populated place,Sefra,Algeria,Algeria,32.7604150584,-0.57994938293,63420,38816
Admin-1 capital,Skikda,Algeria,Algeria,36.8804219757,6.89998164738,225181,162702
Populated place,Kandi,Benin,Benin,11.1303658233,2.94001664085,109701,37265
Populated place,Ouidah,Benin,Benin,6.3603727406,2.08999100608,83503,83503
Admin-1 capital,Abomey,Benin,Benin,7.19039959607,1.9899971096,82154,82154
Admin-1 capital,Natitingou,Benin,Benin,10.3204152618,1.38998205426,80892,49821
Populated place,Djougou,Benin,Benin,9.70042726535,1.68004186871,202810,102607
Populated place,Djanet,Algeria,Algeria,24.5529056997,9.482252969,666,666
Populated place,I-n-Amenas,Algeria,Algeria,28.050340799,9.55000077174,216,216
Populated place,In Amguel,Algeria,Algeria,23.6939400421,5.16473872745,3030,3030
Populated place,El Bayadh,Algeria,Algeria,33.6903582957,1.00995357118,67413,67413
